depth,sample,time_ns,nodes_expanded,path_cost,optimal
1,0,14267,3,2,0
1,1,10314,3,2,0
1,2,10433,3,2,0
1,3,9715,3,2,0
1,4,11181,3,2,0
2,0,19575,5,4,0
2,1,14461,5,4,0
2,2,17687,5,4,0
2,3,17587,5,4,0
2,4,17169,5,4,0
3,0,24879,7,6,0
3,1,20832,7,6,0
3,2,20048,7,6,0
3,3,21178,7,6,0
3,4,13500,7,6,0
4,0,16877,9,8,0
4,1,16356,9,8,0
4,2,16691,9,8,0
4,3,16374,9,8,0
4,4,15175,9,8,0
5,0,19931,11,10,0
5,1,18755,11,10,0
5,2,19942,11,10,0
5,3,19930,11,10,0
5,4,18901,11,10,0
6,0,22753,13,12,0
6,1,22320,13,12,0
6,2,22790,13,12,0
6,3,22238,13,12,0
6,4,22574,13,12,0
7,0,26335,15,14,0
7,1,26602,15,14,0
7,2,25952,15,14,0
7,3,25883,15,14,0
7,4,25799,15,14,0
8,0,30642,17,16,0
8,1,38494,15,14,0
8,2,40958,17,16,0
8,3,29810,17,16,0
8,4,29913,17,16,0
9,0,34027,19,18,0
9,1,33783,19,18,0
9,2,36111,19,18,0
9,3,36036,19,18,0
9,4,46864,19,18,0
10,0,69903,21,20,0
10,1,37269,21,20,0
10,2,37989,21,20,0
10,3,38430,21,20,0
10,4,38138,21,20,0
11,0,42388,23,22,0
11,1,48951,23,22,0
11,2,41243,23,22,0
11,3,41726,23,22,0
11,4,56983,23,22,0
12,0,76943,25,24,0
12,1,48260,24,22,0
12,2,46725,25,24,0
12,3,50210,25,24,0
12,4,46615,25,24,0
13,0,53567,27,26,0
13,1,52705,27,26,0
13,2,82175,27,26,0
13,3,95253,27,26,0
13,4,99525,27,26,0
14,0,102201,25,24,0
14,1,93806,29,28,0
14,2,104893,29,28,0
14,3,112149,29,28,0
14,4,102694,29,28,0
15,0,58882,31,30,0
15,1,49961,25,24,0
15,2,57933,31,30,0
15,3,60864,31,28,0
15,4,63065,31,30,0
16,0,63578,33,32,0
16,1,60759,33,32,0
16,2,59493,33,32,0
16,3,59961,33,32,0
16,4,58507,33,32,0
17,0,62402,32,30,0
17,1,63699,35,34,0
17,2,73356,35,32,0
17,3,62737,35,34,0
17,4,55545,31,30,0
18,0,71784,37,36,0
18,1,68166,37,34,0
18,2,70715,37,36,0
18,3,66956,37,36,0
18,4,65281,37,36,0
19,0,59801,31,30,0
19,1,69856,39,36,0
19,2,70791,39,38,0
19,3,75286,39,38,0
19,4,65677,35,30,0
20,0,86269,41,40,0
20,1,76487,41,38,0
20,2,79226,41,40,0
20,3,79015,41,40,0
20,4,77466,35,34,0
21,0,78594,43,42,0
21,1,77526,43,42,0
21,2,77301,43,42,0
21,3,84273,43,42,0
21,4,77825,43,40,0
22,0,82561,45,44,0
22,1,81246,45,44,0
22,2,81735,45,44,0
22,3,82559,45,42,0
22,4,49663,27,26,0
23,0,83238,45,44,0
23,1,84428,47,46,0
23,2,84170,47,46,0
23,3,85146,47,46,0
23,4,84995,47,46,0
24,0,88669,49,48,0
24,1,90697,49,44,0
24,2,89118,49,46,0
24,3,78438,41,36,0
24,4,91614,49,46,0
25,0,67947,37,36,0
25,1,99981,51,46,0
25,2,100382,51,46,0
25,3,100467,51,50,0
25,4,98986,51,50,0
26,0,94458,51,48,0
26,1,96125,53,52,0
26,2,94540,53,52,0
26,3,85980,43,38,0
26,4,103047,53,52,0
27,0,99163,55,52,0
27,1,102114,55,54,0
27,2,102112,55,46,0
27,3,106868,55,54,0
27,4,80463,41,40,0
28,0,110580,57,56,0
28,1,94201,51,48,0
28,2,110639,56,48,0
28,3,102439,53,50,0
28,4,104058,57,56,0
29,0,100876,51,50,0
29,1,114165,59,58,0
29,2,106705,59,58,0
29,3,107030,59,58,0
29,4,108770,59,58,0
30,0,106557,59,58,0
30,1,111792,61,60,0
30,2,114945,61,60,0
30,3,118153,61,60,0
30,4,107348,54,48,0
31,0,110964,57,56,0
31,1,127468,63,62,0
31,2,122654,63,62,0
31,3,123251,63,60,0
31,4,114186,63,62,0
32,0,133100,65,64,0
32,1,119736,65,64,0
32,2,120037,65,64,0
32,3,128378,65,62,0
32,4,138538,64,54,0
33,0,129224,67,64,0
33,1,112731,63,62,0
33,2,122832,67,60,0
33,3,134243,67,60,0
33,4,100810,55,54,0
34,0,110367,59,52,0
34,1,123904,69,68,0
34,2,109289,53,50,0
34,3,131075,67,66,0
34,4,136025,69,68,0
35,0,132061,67,66,0
35,1,140763,70,68,0
35,2,138275,71,68,0
35,3,134000,69,60,0
35,4,130109,71,70,0
