depth,sample,time_ns,nodes_expanded,path_cost,optimal
1,0,18489,3,2,0
1,1,11010,3,2,0
1,2,8068,3,2,0
1,3,9190,3,2,0
1,4,9904,3,2,0
2,0,19240,5,4,0
2,1,18620,5,4,0
2,2,17949,5,4,0
2,3,17852,5,4,0
2,4,15076,5,4,0
3,0,23300,7,6,0
3,1,23410,7,6,0
3,2,24030,7,6,0
3,3,23452,7,6,0
3,4,24142,7,6,0
4,0,29984,9,8,0
4,1,32020,9,8,0
4,2,31714,9,8,0
4,3,31274,9,8,0
4,4,30564,9,8,0
5,0,38670,11,10,0
5,1,39080,11,10,0
5,2,39102,11,10,0
5,3,36135,11,10,0
5,4,38506,11,10,0
6,0,42342,13,12,0
6,1,42616,13,12,0
6,2,43276,13,12,0
6,3,44166,13,12,0
6,4,62134,13,12,0
7,0,52236,15,14,0
7,1,53339,15,14,0
7,2,50876,15,14,0
7,3,51621,15,14,0
7,4,103255,15,14,0
8,0,55586,17,16,0
8,1,48242,15,14,0
8,2,58413,17,16,0
8,3,53684,15,14,0
8,4,59478,17,16,0
9,0,64626,19,18,0
9,1,60404,17,16,0
9,2,67509,19,18,0
9,3,64453,19,18,0
9,4,62440,17,16,0
10,0,65557,21,20,0
10,1,72597,21,20,0
10,2,78261,21,20,0
10,3,67261,19,18,0
10,4,72602,21,20,0
11,0,71886,23,22,0
11,1,76036,23,22,0
11,2,77713,23,22,0
11,3,81502,23,22,0
11,4,70888,23,22,0
12,0,79363,25,24,0
12,1,78745,25,24,0
12,2,74395,25,24,0
12,3,79983,25,24,0
12,4,120120,25,20,0
13,0,98115,27,26,0
13,1,97028,27,26,0
13,2,93175,27,26,0
13,3,94580,27,26,0
13,4,92198,27,26,0
14,0,109210,29,28,0
14,1,101260,29,28,0
14,2,95744,27,26,0
14,3,106712,29,28,0
14,4,139716,29,28,0
15,0,104757,31,30,0
15,1,107682,31,30,0
15,2,100254,31,30,0
15,3,105301,31,30,0
15,4,95808,31,30,0
16,0,105093,33,32,0
16,1,115866,33,32,0
16,2,114222,33,30,0
16,3,119425,33,32,0
16,4,103221,33,32,0
17,0,118001,35,34,0
17,1,96370,35,34,0
17,2,121223,35,34,0
17,3,120839,35,34,0
17,4,120959,35,34,0
18,0,130932,37,36,0
18,1,127874,37,36,0
18,2,126935,37,36,0
18,3,107149,31,30,0
18,4,122735,37,36,0
19,0,117124,35,34,0
19,1,129544,37,34,0
19,2,133787,39,38,0
19,3,133946,39,38,0
19,4,131849,39,38,0
20,0,120184,37,36,0
20,1,145843,39,38,0
20,2,141399,41,40,0
20,3,148385,41,40,0
20,4,286255,41,40,0
21,0,150776,39,36,0
21,1,152018,43,42,0
21,2,149778,43,42,0
21,3,139440,43,42,0
21,4,276313,43,42,0
22,0,166092,45,44,0
22,1,139907,45,44,0
22,2,153847,45,44,0
22,3,137658,37,32,0
22,4,183266,45,42,0
23,0,175563,47,46,0
23,1,172253,47,46,0
23,2,159762,47,44,0
23,3,171070,47,46,0
23,4,175875,47,44,0
24,0,143675,49,48,0
24,1,192068,49,48,0
24,2,121370,35,34,0
24,3,175666,49,48,0
24,4,192927,49,48,0
25,0,158979,43,42,0
25,1,147134,41,40,0
25,2,179510,51,50,0
25,3,184071,51,48,0
25,4,181003,51,50,0
26,0,195860,53,52,0
26,1,196121,49,48,0
26,2,180283,51,50,0
26,3,186809,53,52,0
26,4,188763,53,48,0
27,0,199572,55,50,0
27,1,198843,55,54,0
27,2,198733,53,50,0
27,3,191812,55,54,0
27,4,198851,55,54,0
28,0,196478,51,48,0
28,1,165018,45,44,0
28,2,206421,57,56,0
28,3,211837,57,56,0
28,4,168286,45,44,0
29,0,207712,59,58,0
29,1,216866,59,58,0
29,2,203283,57,56,0
29,3,212625,59,50,0
29,4,187793,51,48,0
30,0,218914,61,60,0
30,1,236632,61,56,0
30,2,228715,61,60,0
30,3,235766,61,60,0
30,4,221567,61,58,0
31,0,235562,63,62,0
31,1,221508,63,58,0
31,2,238069,63,60,0
31,3,203589,57,56,0
31,4,226168,59,52,0
32,0,235860,65,62,0
32,1,242601,65,64,0
32,2,233626,65,58,0
32,3,243202,65,64,0
32,4,219303,61,56,0
33,0,257617,67,66,0
33,1,238202,67,60,0
33,2,245190,63,56,0
33,3,240084,67,66,0
33,4,253128,67,58,0
34,0,246380,67,60,0
34,1,254220,69,68,0
34,2,254152,69,68,0
34,3,240941,69,68,0
34,4,245965,69,64,0
35,0,257274,71,62,0
35,1,259765,71,60,0
35,2,256335,71,64,0
35,3,261603,69,68,0
35,4,213389,57,56,0
