depth,sample,time_ns,nodes_expanded,path_cost,optimal
1,0,10254,3,2,0
1,1,5501,3,2,0
1,2,4911,3,2,0
1,3,4625,3,2,0
1,4,4431,3,2,0
2,0,9033,5,4,0
2,1,8519,5,4,0
2,2,8620,5,4,0
2,3,8996,5,4,0
2,4,8769,5,4,0
3,0,13036,7,6,0
3,1,12671,7,6,0
3,2,12266,7,6,0
3,3,11517,7,6,0
3,4,11435,7,6,0
4,0,15108,9,8,0
4,1,14876,9,8,0
4,2,15148,9,8,0
4,3,14863,9,8,0
4,4,14822,9,8,0
5,0,19811,11,10,0
5,1,19093,11,10,0
5,2,18334,11,10,0
5,3,18432,11,10,0
5,4,18571,11,10,0
6,0,23531,13,12,0
6,1,22437,13,12,0
6,2,22233,13,12,0
6,3,41419,13,12,0
6,4,44389,13,12,0
7,0,51491,15,14,0
7,1,57059,15,14,0
7,2,48959,15,14,0
7,3,56452,15,14,0
7,4,54628,15,14,0
8,0,61675,17,16,0
8,1,52396,17,16,0
8,2,63298,17,16,0
8,3,56241,17,16,0
8,4,30782,17,16,0
9,0,36982,19,18,0
9,1,64299,19,18,0
9,2,33605,19,18,0
9,3,33568,19,18,0
9,4,33557,19,18,0
10,0,62851,21,20,0
10,1,73844,21,20,0
10,2,64905,17,16,0
10,3,77785,21,20,0
10,4,69688,21,20,0
11,0,84682,23,22,0
11,1,86486,23,22,0
11,2,103411,23,22,0
11,3,81098,23,22,0
11,4,90590,23,22,0
12,0,95872,25,24,0
12,1,99070,25,24,0
12,2,87445,25,24,0
12,3,46477,25,24,0
12,4,45613,25,24,0
13,0,48626,27,26,0
13,1,50236,27,26,0
13,2,51214,27,26,0
13,3,49575,27,26,0
13,4,42351,23,22,0
14,0,51101,29,28,0
14,1,52156,29,28,0
14,2,60207,29,28,0
14,3,55150,29,28,0
14,4,51660,29,28,0
15,0,55058,31,30,0
15,1,54861,31,30,0
15,2,54196,30,28,0
15,3,54761,31,30,0
15,4,55065,31,30,0
16,0,59490,33,30,0
16,1,61575,33,30,0
16,2,60438,33,32,0
16,3,58955,33,32,0
16,4,56733,31,30,0
17,0,64860,31,30,0
17,1,60185,31,30,0
17,2,62138,35,34,0
17,3,62091,35,34,0
17,4,62912,35,34,0
18,0,52048,29,28,0
18,1,76769,37,36,0
18,2,72040,37,36,0
18,3,66038,37,36,0
18,4,65502,37,34,0
19,0,70271,39,38,0
19,1,69075,39,38,0
19,2,73427,39,38,0
19,3,69257,39,38,0
19,4,68942,39,38,0
20,0,73260,40,36,0
20,1,78806,41,40,0
20,2,78964,41,40,0
20,3,78475,41,40,0
20,4,74068,41,40,0
21,0,78186,43,42,0
21,1,77717,43,42,0
21,2,76774,43,42,0
21,3,83670,43,40,0
21,4,75849,41,40,0
22,0,78476,43,42,0
22,1,70860,37,36,0
22,2,70909,39,38,0
22,3,88627,45,44,0
22,4,76187,41,40,0
23,0,90106,47,46,0
23,1,82496,47,46,0
23,2,83180,47,46,0
23,3,90873,47,46,0
23,4,82782,47,46,0
24,0,86613,49,46,0
24,1,87961,49,48,0
24,2,94297,49,48,0
24,3,94377,49,48,0
24,4,86891,49,48,0
25,0,77546,43,42,0
25,1,90366,51,50,0
25,2,90954,51,50,0
25,3,100944,51,50,0
25,4,89749,51,50,0
26,0,101623,53,52,0
26,1,100654,53,50,0
26,2,101517,53,52,0
26,3,96129,53,50,0
26,4,94990,53,52,0
27,0,95559,49,48,0
27,1,139343,49,48,0
27,2,101713,55,54,0
27,3,100348,55,54,0
27,4,82440,43,38,0
28,0,109908,57,50,0
28,1,111388,57,56,0
28,2,101838,57,56,0
28,3,102066,57,56,0
28,4,99555,55,54,0
29,0,105720,59,58,0
29,1,99012,55,54,0
29,2,105376,59,58,0
29,3,102581,57,56,0
29,4,106579,59,54,0
30,0,120728,61,60,0
30,1,159848,49,48,0
30,2,111735,59,58,0
30,3,112963,61,60,0
30,4,113824,61,58,0
31,0,112329,63,62,0
31,1,112003,63,62,0
31,2,117719,61,60,0
31,3,107036,58,52,0
31,4,80646,45,42,0
32,0,125364,65,64,0
32,1,109938,60,48,0
32,2,112901,63,60,0
32,3,116817,64,58,0
32,4,118011,65,62,0
33,0,118757,67,62,0
33,1,116678,65,62,0
33,2,119319,67,66,0
33,3,83070,45,44,0
33,4,127822,67,66,0
34,0,53132,29,28,0
34,1,150133,69,68,0
34,2,115307,63,56,0
34,3,106078,59,58,0
34,4,126308,69,66,0
35,0,71037,39,38,0
35,1,131474,69,66,0
35,2,120038,67,66,0
35,3,136201,71,70,0
35,4,91775,51,48,0
