stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:43:3121:0:1","Baden Josefsplatz","48.00598750","16.23376093","3045"
"at:43:3134:0:1","Baden Viadukt","48.00383581","16.24096542","3045"
"at:43:3134:0:2","Baden Viadukt","48.00373363","16.24091152","3045"
"at:43:3142:0:3","Baden Leesdorf","47.99963433","16.25134994","3045"
"at:43:3142:0:4","Baden Leesdorf","47.99955618","16.25163740","3045"
"at:43:3499:0:1","Gerasdorf Bahnhof","48.29297157","16.48321410","0120"
"at:43:3499:0:4","Gerasdorf Bahnhof","48.29306719","16.48313325","0120"
"at:43:3507:0:1","Gerasdorf Mittelschule","48.29441791","16.47133837","0100"
"at:43:3507:0:2","Gerasdorf Mittelschule","48.29435814","16.47132939","0100"
"at:43:3509:0:1","Gerasdorf Josef-BÃ¶ck-Gasse","48.29358119","16.47856082","0100"
"at:43:3509:0:2","Gerasdorf Josef-BÃ¶ck-Gasse","48.29347958","16.47856082","0100"
"at:43:3510:0:1","Gerasdorf Postamt","48.29469282","16.46837393","0100"
"at:43:3510:0:2","Gerasdorf Postamt","48.29460318","16.46835596","0100"
"at:43:3556:0:2","GroÃŸ-Enzersdorf Busbahnhof","48.19981175","16.54940197","0103"
"at:43:3558:0:1","GroÃŸ-Enzersdorf Stadtmauer","48.20491891","16.54939298","0103"
"at:43:3558:0:2","GroÃŸ-Enzersdorf Stadtmauer","48.20539787","16.54905162","0103"
"at:43:3615:0:1","Guntramsdorf Lokalbahn","48.04831202","16.31170774","3377"
"at:43:3615:0:2","Guntramsdorf Lokalbahn","48.04834805","16.31186944","3377"
"at:43:3615:0:3","Guntramsdorf Lokalbahn","48.04896659","16.31239945","3377"
"at:43:3615:0:4","Guntramsdorf Lokalbahn","48.04893656","16.31251623","3377"
"at:43:3895:0:5","Kledering Bahnhof","48.13270691","16.43928648","0106"
"at:43:3897:0:1","Kledering Kirche","48.13204141","16.43617831","0106"
"at:43:3897:0:2","Kledering Kirche","48.13216731","16.43555847","0106"
"at:43:4092:0:2","Kledering Bahnhofplatz","48.13204141","16.43825342","0106"
"at:43:4164:0:1","Maria Enzersdorf SÃ¼dstadt","48.09626579","16.31468117","3377"
"at:43:4164:0:2","Maria Enzersdorf SÃ¼dstadt","48.09625979","16.31474405","3377"
"at:43:4302:0:1","Eigenheimsiedlung","48.03996401","16.30421579","3377"
"at:43:4302:0:2","Eigenheimsiedlung","48.03950754","16.30416190","3377"
"at:43:4302:0:3","Eigenheimsiedlung","48.03987993","16.30434156","3377"
"at:43:4304:0:1","MÃ¶llersdorf Lokalbahn","48.02771583","16.29976913","3045"
"at:43:4304:0:2","MÃ¶llersdorf Lokalbahn","48.02767978","16.29998473","3045"
"at:43:4304:0:3","MÃ¶llersdorf Lokalbahn","48.02796815","16.30016439","3045"
"at:43:4304:0:4","MÃ¶llersdorf Lokalbahn","48.02795613","16.30023626","3045"
"at:43:4331:0:3","Neu Guntramsdorf","48.06356315","16.31364810","3377"
"at:43:4331:0:4","Neu Guntramsdorf","48.06355114","16.31384573","3377"
"at:43:4536:0:1","PfaffstÃ¤tten Rennplatz","48.00839754","16.26132124","3045"
"at:43:4536:0:2","PfaffstÃ¤tten Rennplatz","48.00830739","16.26141107","3045"
"at:43:4710:0:3","Schwechat Bahnhof","48.14251448","16.48268409","0114"
"at:43:4718:0:1","Schwechat Brauerei","48.14522982","16.46914648","0114"
"at:43:4718:0:2","Schwechat Brauerei","48.14545759","16.46920936","0114"
"at:43:4735:0:1","Schwechat B10/Rathausplatz","48.14112979","16.47605452","0114"
"at:43:4808:0:1","Schwechat MÃ¶hringgasse","48.14064423","16.47968372","0114"
"at:43:4808:0:2","Schwechat MÃ¶hringgasse","48.14080608","16.47986338","0114"
"at:43:5001:0:1","Traiskirchen Lokalbahn","48.01503808","16.28965410","3045"
"at:43:5001:0:2","Traiskirchen Lokalbahn","48.01508615","16.28970800","3045"
"at:43:5001:0:3","Traiskirchen Lokalbahn","48.01541064","16.29066022","3045"
"at:43:5001:0:4","Traiskirchen Lokalbahn","48.01538661","16.29075903","3045"
"at:43:5022:0:1","Tribuswinkel-Josefsthal","48.00783861","16.27015168","3045"
"at:43:5022:0:2","Tribuswinkel-Josefsthal","48.00773043","16.27012473","3045"
"at:43:5022:0:3","Tribuswinkel-Josefsthal","48.00767033","16.27082542","3045"
"at:43:5022:0:4","Tribuswinkel-Josefsthal","48.00766432","16.27097813","3045"
"at:43:5132:0:1","VÃ¶sendorf SCS","48.11158668","16.31548965","3379"
